Country,Clicks,Impressions,CTR,Position
United States,21,775,2.71%,15.63
Pakistan,1,2,50%,3
Brazil,0,13,0%,9.38
Canada,0,5,0%,12.4
India,0,4,0%,7.25
Vietnam,0,3,0%,6
Philippines,0,3,0%,27.67
Iraq,0,2,0%,10.5
Netherlands,0,2,0%,12
Honduras,0,1,0%,1
South Africa,0,1,0%,1
China,0,1,0%,3
Ukraine,0,1,0%,4
Kenya,0,1,0%,5
Sweden,0,1,0%,5
United Kingdom,0,1,0%,6
Indonesia,0,1,0%,6
Cambodia,0,1,0%,6
Venezuela,0,1,0%,6
Singapore,0,1,0%,8
Ecuador,0,1,0%,9
Turkey,0,1,0%,9
Malaysia,0,1,0%,10
Germany,0,1,0%,11
Belgium,0,1,0%,13
Iran,0,1,0%,17
Kazakhstan,0,1,0%,22
Mexico,0,1,0%,26
Australia,0,1,0%,31
Bangladesh,0,1,0%,41